task,architecture,accuracy,instances
doorway,convnext_nano.in12k,0.9722222222222222,12
doorway,convnext_nano.in12k_ft_in1k,0.9652777777777778,12
doorway,convnext_small.in12k,0.9861111111111112,12
doorway,convnext_tiny.in12k,0.9618055555555556,12
doorway,convnext_tiny.in12k_ft_in1k,0.9600694444444444,12
doorway,convnextv2_tiny.fcmae,0.9444444444444444,12
doorway,efficientnet_b0.ra_in1k,0.9618055555555556,12
doorway,efficientnet_b3.ra2_in1k,0.9756944444444444,12
doorway,mobilenetv2_100.ra_in1k,0.9791666666666666,12
doorway,regnety_040.ra3_in1k,0.9930555555555556,12
doorway,regnety_064.ra3_in1k,0.9965277777777778,12
doorway,regnety_080.ra3_in1k,0.9895833333333334,12
doorway,resnet101.a1h_in1k,0.9513888888888888,12
doorway,resnet18.a1_in1k,0.9618055555555556,12
doorway,resnet18d.ra2_in1k,0.9791666666666666,12
doorway,resnet50.a1_in1k,0.9652777777777778,12
doorway,resnet50.a1h_in1k,0.9826388888888888,12
doorway,resnet50d.a1_in1k,0.96875,12
doorway,vgg11_bn.tv_in1k,0.9826388888888888,12
doorway,vgg13_bn.tv_in1k,0.9895833333333334,12
doorway,vgg16_bn.tv_in1k,0.9930555555555556,12
doorway,vgg19_bn.tv_in1k,0.9930555555555556,12
doorway,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0,12
doorway,vit_base_patch16_224.dino,1.0,12
doorway,vit_base_patch16_224.mae,1.0,12
doorway,vit_base_patch16_clip_224.openai,1.0,12
doorway,vit_base_patch8_224.dino,1.0,12
doorway,vit_small_patch16_224.dino,1.0,12
emotion,convnext_nano.in12k,0.6333333333333333,12
emotion,convnext_nano.in12k_ft_in1k,0.6208333333333333,12
emotion,convnext_small.in12k,0.6333333333333333,12
emotion,convnext_tiny.in12k,0.6416666666666667,12
emotion,convnext_tiny.in12k_ft_in1k,0.625,12
emotion,convnextv2_tiny.fcmae,0.5,12
emotion,efficientnet_b0.ra_in1k,0.6,12
emotion,efficientnet_b3.ra2_in1k,0.5791666666666666,12
emotion,mobilenetv2_100.ra_in1k,0.575,12
emotion,regnety_040.ra3_in1k,0.6083333333333333,12
emotion,regnety_064.ra3_in1k,0.625,12
emotion,regnety_080.ra3_in1k,0.6208333333333333,12
emotion,resnet101.a1h_in1k,0.55,12
emotion,resnet18.a1_in1k,0.525,12
emotion,resnet18d.ra2_in1k,0.5666666666666667,12
emotion,resnet50.a1_in1k,0.5375,12
emotion,resnet50.a1h_in1k,0.575,12
emotion,resnet50d.a1_in1k,0.55,12
emotion,vgg11_bn.tv_in1k,0.575,12
emotion,vgg13_bn.tv_in1k,0.5583333333333333,12
emotion,vgg16_bn.tv_in1k,0.5666666666666667,12
emotion,vgg19_bn.tv_in1k,0.5833333333333334,12
emotion,vit_base_patch16_224.augreg2_in21k_ft_in1k,0.5958333333333333,12
emotion,vit_base_patch16_224.dino,0.6,12
emotion,vit_base_patch16_224.mae,0.625,12
emotion,vit_base_patch16_clip_224.openai,0.6,12
emotion,vit_base_patch8_224.dino,0.6166666666666667,12
emotion,vit_small_patch16_224.dino,0.6125,12
locate_person,convnext_nano.in12k,1.0,12
locate_person,convnext_nano.in12k_ft_in1k,0.9966666666666667,12
locate_person,convnext_small.in12k,0.9966666666666667,12
locate_person,convnext_tiny.in12k,0.9966666666666667,12
locate_person,convnext_tiny.in12k_ft_in1k,0.9966666666666667,12
locate_person,convnextv2_tiny.fcmae,0.9716666666666667,12
locate_person,efficientnet_b0.ra_in1k,0.9933333333333333,12
locate_person,efficientnet_b3.ra2_in1k,0.9933333333333333,12
locate_person,mobilenetv2_100.ra_in1k,0.9933333333333333,12
locate_person,regnety_040.ra3_in1k,1.0,12
locate_person,regnety_064.ra3_in1k,1.0,12
locate_person,regnety_080.ra3_in1k,1.0,12
locate_person,resnet101.a1h_in1k,0.9966666666666667,12
locate_person,resnet18.a1_in1k,0.9866666666666667,12
locate_person,resnet18d.ra2_in1k,0.9933333333333333,12
locate_person,resnet50.a1_in1k,0.99,12
locate_person,resnet50.a1h_in1k,1.0,12
locate_person,resnet50d.a1_in1k,0.9866666666666667,12
locate_person,vgg11_bn.tv_in1k,0.9966666666666667,12
locate_person,vgg13_bn.tv_in1k,0.99,12
locate_person,vgg16_bn.tv_in1k,1.0,12
locate_person,vgg19_bn.tv_in1k,0.9933333333333333,12
locate_person,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0,12
locate_person,vit_base_patch16_224.dino,1.0,12
locate_person,vit_base_patch16_224.mae,1.0,12
locate_person,vit_base_patch16_clip_224.openai,1.0,12
locate_person,vit_base_patch8_224.dino,1.0,12
locate_person,vit_small_patch16_224.dino,1.0,12
person_facing_direction,convnext_nano.in12k,0.8516666666666667,12
person_facing_direction,convnext_nano.in12k_ft_in1k,0.835,12
person_facing_direction,convnext_small.in12k,0.8983333333333333,12
person_facing_direction,convnext_tiny.in12k,0.8766666666666667,12
person_facing_direction,convnext_tiny.in12k_ft_in1k,0.8766666666666667,12
person_facing_direction,convnextv2_tiny.fcmae,0.7250000000000001,12
person_facing_direction,efficientnet_b0.ra_in1k,0.8733333333333333,12
person_facing_direction,efficientnet_b3.ra2_in1k,0.8866666666666667,12
person_facing_direction,mobilenetv2_100.ra_in1k,0.8666666666666667,12
person_facing_direction,regnety_040.ra3_in1k,0.9033333333333333,12
person_facing_direction,regnety_064.ra3_in1k,0.93,12
person_facing_direction,regnety_080.ra3_in1k,0.91,12
person_facing_direction,resnet101.a1h_in1k,0.85,12
person_facing_direction,resnet18.a1_in1k,0.81,12
person_facing_direction,resnet18d.ra2_in1k,0.8733333333333333,12
person_facing_direction,resnet50.a1_in1k,0.8216666666666667,12
person_facing_direction,resnet50.a1h_in1k,0.8933333333333333,12
person_facing_direction,resnet50d.a1_in1k,0.8733333333333333,12
person_facing_direction,vgg11_bn.tv_in1k,0.8666666666666667,12
person_facing_direction,vgg13_bn.tv_in1k,0.8683333333333334,12
person_facing_direction,vgg16_bn.tv_in1k,0.8683333333333334,12
person_facing_direction,vgg19_bn.tv_in1k,0.87,12
person_facing_direction,vit_base_patch16_224.augreg2_in21k_ft_in1k,0.99,12
person_facing_direction,vit_base_patch16_224.dino,0.96,12
person_facing_direction,vit_base_patch16_224.mae,0.9633333333333334,12
person_facing_direction,vit_base_patch16_clip_224.openai,0.9933333333333333,12
person_facing_direction,vit_base_patch8_224.dino,0.9766666666666667,12
person_facing_direction,vit_small_patch16_224.dino,0.97,12
shape,convnext_nano.in12k,0.8339080459770115,12
shape,convnext_nano.in12k_ft_in1k,0.8190557173729212,12
shape,convnext_small.in12k,0.8898844180135246,12
shape,convnext_tiny.in12k,0.8512957668885216,12
shape,convnext_tiny.in12k_ft_in1k,0.8772413793103448,12
shape,convnextv2_tiny.fcmae,0.5470704288266826,12
shape,efficientnet_b0.ra_in1k,0.7745725082664148,12
shape,efficientnet_b3.ra2_in1k,0.8198811134185608,12
shape,mobilenetv2_100.ra_in1k,0.7704440245630609,12
shape,regnety_040.ra3_in1k,0.8027397260273973,12
shape,regnety_064.ra3_in1k,0.8316087793167832,12
shape,regnety_080.ra3_in1k,0.8331015299026425,12
shape,resnet101.a1h_in1k,0.7811232128153305,12
shape,resnet18.a1_in1k,0.7401095874093596,12
shape,resnet18d.ra2_in1k,0.7708567258028296,12
shape,resnet50.a1_in1k,0.7103448275862069,12
shape,resnet50.a1h_in1k,0.8043913698888261,12
shape,resnet50d.a1_in1k,0.7455172413793103,12
shape,vgg11_bn.tv_in1k,0.7743298340541467,12
shape,vgg13_bn.tv_in1k,0.7824912044314694,12
shape,vgg16_bn.tv_in1k,0.7697547683923706,12
shape,vgg19_bn.tv_in1k,0.8043781797625777,12
shape,vit_base_patch16_224.augreg2_in21k_ft_in1k,0.8719299417913994,12
shape,vit_base_patch16_224.dino,0.849978019729188,12
shape,vit_base_patch16_224.mae,0.6769181890091434,12
shape,vit_base_patch16_clip_224.openai,0.861716621253406,12
shape,vit_base_patch8_224.dino,0.8542917019411018,12
shape,vit_small_patch16_224.dino,0.8315142942227516,12
window_side,convnext_nano.in12k,1.0,12
window_side,convnext_nano.in12k_ft_in1k,1.0,12
window_side,convnext_small.in12k,1.0,12
window_side,convnext_tiny.in12k,1.0,12
window_side,convnext_tiny.in12k_ft_in1k,1.0,12
window_side,convnextv2_tiny.fcmae,1.0,12
window_side,efficientnet_b0.ra_in1k,1.0,12
window_side,efficientnet_b3.ra2_in1k,1.0,12
window_side,mobilenetv2_100.ra_in1k,1.0,12
window_side,regnety_040.ra3_in1k,1.0,12
window_side,regnety_064.ra3_in1k,1.0,12
window_side,regnety_080.ra3_in1k,1.0,12
window_side,resnet101.a1h_in1k,1.0,12
window_side,resnet18.a1_in1k,1.0,12
window_side,resnet18d.ra2_in1k,1.0,12
window_side,resnet50.a1_in1k,1.0,12
window_side,resnet50.a1h_in1k,1.0,12
window_side,resnet50d.a1_in1k,1.0,12
window_side,vgg11_bn.tv_in1k,1.0,12
window_side,vgg13_bn.tv_in1k,1.0,12
window_side,vgg16_bn.tv_in1k,1.0,12
window_side,vgg19_bn.tv_in1k,1.0,12
window_side,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0,12
window_side,vit_base_patch16_224.dino,1.0,12
window_side,vit_base_patch16_224.mae,1.0,12
window_side,vit_base_patch16_clip_224.openai,1.0,12
window_side,vit_base_patch8_224.dino,1.0,12
window_side,vit_small_patch16_224.dino,1.0,12
doorway,human,0.8559027777777777,12
emotion,human,0.5541666666666667,12
shape,human,0.6729166666666666,12
